harvest_id,farmer_id,crop_id,date_id,quantity_ton,selling_price,market
3,250,18,665,32.16,338971.85,cold storage
8,182,125,134,931.24,493815.44,cold storage
16,964,56,415,900.46,16487.1,cold storage
21,719,75,7,995.67,478174.15,cold storage
30,936,132,111,772.43,32106.2,cold storage
46,1039,208,613,261.91,323473.99,cold storage
50,107,152,259,888.86,271840.02,cold storage
52,1008,61,663,148.09,264574.5,cold storage
54,500,169,96,982.08,375993.96,cold storage
56,1040,177,409,827.03,191433.25,cold storage
58,318,46,608,931.28,497232.62,cold storage
64,799,12,473,234.24,138968.32,cold storage
65,172,132,55,133.23,423197.5,cold storage
67,808,178,592,137,363209.08,cold storage
71,1040,135,321,875.38,466407.38,cold storage
85,877,167,529,499.69,451963.39,cold storage
87,183,19,678,610.71,72525.5,cold storage
91,714,73,655,546.46,151582.12,cold storage
100,945,93,98,175.32,494084.08,cold storage
108,735,15,256,222.93,408819.79,cold storage
114,577,199,209,100.47,497173.96,cold storage
117,422,196,713,946.84,380338.5,cold storage
121,273,117,369,725.35,324967.61,cold storage
123,244,42,624,438.6,63617.78,cold storage
126,27,30,216,564.68,3991.26,cold storage
137,691,181,727,8.16,144154.94,cold storage
141,294,200,120,658.94,171073.94,cold storage
149,165,96,347,987.28,220570.12,cold storage
153,789,38,713,586.98,271821.85,cold storage
155,247,150,29,447.87,19489.95,cold storage
169,256,95,322,254.42,117294.66,cold storage
183,572,80,44,764.34,249404.72,cold storage
194,898,186,700,810.53,457897.67,cold storage
195,950,98,339,643.16,411950.82,cold storage
201,224,164,643,609.87,185375.2,cold storage
203,846,56,113,-0.5,327735.02,cold storage
206,136,39,9,510.45,187619.72,cold storage
207,752,154,675,891.47,93546.12,cold storage
209,284,187,529,744.02,126979.78,cold storage
215,311,183,595,380.37,259016.17,cold storage
220,433,140,648,760.09,155552.06,cold storage
223,501,140,126,473.53,430735.47,cold storage
229,446,26,182,745.29,227287.68,cold storage
231,530,61,162,337.46,463056.36,cold storage
238,360,180,170,270.58,232269.12,cold storage
241,974,80,264,-0.5,331029.57,cold storage
243,833,26,668,303.58,162030,cold storage
246,436,155,111,454.23,201154,cold storage
252,257,124,451,540.85,438830.76,cold storage
258,590,89,544,671.72,1633.27,cold storage
259,214,198,227,626.68,110196.76,cold storage
263,614,37,13,417.39,484254.49,cold storage
264,407,210,678,284.38,226836.75,cold storage
266,754,204,69,573.09,358562.73,cold storage
267,432,119,440,195.83,102039.68,cold storage
273,961,2,335,446.36,277492.92,cold storage
276,363,168,683,829.79,212452.35,cold storage
278,127,1,28,540.05,430283.69,cold storage
279,25,87,156,180.4,497774.21,cold storage
280,199,129,362,137.16,335688.62,cold storage
285,967,167,265,223.91,468371.05,cold storage
291,604,159,539,376.42,371953,cold storage
299,99,55,241,994.56,262109.1,cold storage
303,272,9,596,946.85,103376.94,cold storage
309,609,83,640,256.66,489579.32,cold storage
315,973,37,89,896.48,438123.99,cold storage
318,739,4,491,217.32,220505.53,cold storage
321,785,176,672,550.86,266000.24,cold storage
322,232,128,704,357.2,494634.59,cold storage
330,429,148,21,541.97,337790.93,cold storage
336,492,40,531,384.53,132696.92,cold storage
339,714,171,443,391.84,19512.21,cold storage
347,492,161,703,583.03,276116.23,cold storage
349,354,181,110,249.51,388071.3,cold storage
352,426,154,186,790.12,26672.28,cold storage
354,47,109,250,26.05,90078.77,cold storage
358,651,193,408,912.71,449605.59,cold storage
368,895,71,153,494.85,120606.57,cold storage
377,937,84,240,430.72,409067.52,cold storage
382,779,28,24,314.87,461888,cold storage
412,286,12,582,669.81,201456.36,cold storage
413,617,14,466,817.45,381391.58,cold storage
419,850,85,614,296.64,152141.24,cold storage
420,173,125,94,938.76,376471.81,cold storage
425,896,154,478,647.25,173237.16,cold storage
432,504,166,623,974.61,128112.62,cold storage
438,830,197,434,-0.5,407178.85,cold storage
442,580,169,19,791,286441.96,cold storage
451,158,160,434,339.2,251710.35,cold storage
464,449,111,658,875.54,256914,cold storage
469,47,178,64,892.54,180892.06,cold storage
473,1043,41,620,811.33,337522.86,cold storage
477,300,103,322,13.42,290687,cold storage
484,479,36,275,965.63,493472.43,cold storage
485,431,69,325,586.84,166320.51,cold storage
487,468,116,191,892.46,33071.78,cold storage
505,310,156,130,686.19,429503.11,cold storage
511,740,106,79,374.32,496623.61,cold storage
515,519,207,498,834.65,6087.94,cold storage
518,910,184,155,949.97,60609.07,cold storage
532,514,94,199,119.85,217108.38,cold storage
550,560,202,211,774.5,209911.27,cold storage
552,1037,85,455,761.48,101575.16,cold storage
558,639,39,289,543.04,238881.32,cold storage
563,804,181,696,873.74,370854.8,cold storage
577,821,167,345,385.55,11122.94,cold storage
580,911,12,167,902.34,341214.77,cold storage
